40 -13.008901
131 -0.593338
144 -6.732607
224 -1.542047
287 5.156336
197 -13.383264
260 14.551644
297 31.551651
314 -5.224480
386 -3.683774
44 -32.939848
69 -14.116204
129 -3.189179
163 9.509233
175 -3.863681
180 -13.439598
184 13.689493
186 34.296046
37 128.492999
67 67.611594
124 -3.511102
169 4.433138
173 17.114468
189 -4.292884
270 1.793017
271 16.289340
55 -180.851455
95 49.914761
105 -3.848869
191 7.432157
199 2.198032
223 -3.316773
344 -16.809493
395 11.205019
130 7.812069
155 16.379323
222 24.703973
261 -5.144128
263 -1.356458
296 6.328578
307 0.687225
331 33.106132
116 -5.746708
288 -8.271333
359 -2.596866
368 8.176152
12 206.790913
21 40.163050
66 -35.306843
107 -17.649413
115 26.273606
122 53.306985
165 -1.016609
220 -3.557460
20 -18.810033
33 -241.963417
204 -11.092404
227 -8.989444
244 9.450366
246 -4.049342
248 -7.434251
273 -2.942642
216 16.708672
25 -5.258841
47 -74.355332
74 40.913398
79 22.484170
141 -1.362094
149 -1.082923
293 -0.181130
36 137.262464
146 -4.117222
179 10.642402
289 -0.721639
308 -3.539020
311 -8.561412
319 -4.151599
343 26.138533
252 -3.856676
300 -2.337215
327 -5.120382
360 38.218270
374 -39.429146
56 32.940389
202 -3.486179
228 -4.239657
233 16.422778
379 -1.253398
53 38.655999
182 9.000871
264 35.914371
375 28.194743
385 -6.430289
397 4.972859
134 0.765031
225 -6.250400
302 3.126529
393 17.147246
39 -13.580760
93 4.195349
178 -4.200980
274 -5.115703
364 -1.029829
192 13.973019
392 9.708705
13 311.650569
24 39.687276
80 -44.165133
211 0.161594
266 2.889609
365 31.066508
52 -7.852799
127 -8.212107
355 24.203781
380 -10.253918
2 1714.166788
46 17.456423
143 3.680713
323 -6.926777
326 -3.815811
370 16.921512
41 109.518124
102 27.325580
160 -3.259713
243 -8.434341
259 27.193382
301 -5.063846
304 19.730003
320 15.901058
10 127.003542
43 29.139958
171 17.672331
23 67.734970
59 -162.587583
70 106.151503
89 -55.757621
168 26.368274
250 1.541124
325 -8.831166
329 -5.427954
117 -6.272009
333 1.594229
381 -2.690730
4 1168.711007
258 0.858669
276 -3.379694
292 -9.938270
342 -5.096465
11 183.636250
81 35.906183
92 -219.265419
136 -8.387096
164 50.234589
267 6.336286
309 -1.584401
313 -25.002329
48 -82.930281
60 -93.044619
87 109.763985
371 0.553560
394 36.077477
27 146.128229
72 87.475384
154 -0.690380
286 -2.181777
332 -14.862105
350 -6.726398
378 -3.847792
387 -4.388150
3 1016.820502
138 16.719413
140 20.842572
181 2.412145
217 60.856853
219 -2.141215
221 39.499807
230 12.465990
14 38.009926
19 38.401908
26 -69.466790
100 23.982180
167 -7.545190
196 21.982149
201 -3.291453
275 -2.073891
82 40.165239
110 -3.370532
205 -23.218949
257 -2.250340
281 20.047627
282 -23.909303
338 -0.943445
339 -6.072880
45 23.069267
68 -1.528706
97 -7.869567
335 -4.452971
398 4.096989
71 111.238111
108 -14.272659
236 11.893716
341 -2.178420
346 5.508106
86 99.237623
194 32.208795
200 -2.469565
206 8.478933
215 -4.905356
299 27.238204
306 -6.506837
315 18.587660
35 -16.216298
57 24.470898
