33-46-|45 1.608891
27-64-|98 2.749051
41-|49 0.993123
51-|6 1.164071
11-62-|49 0.811442
34-96-|94 1.633848
13-|55 0.903179
0-1-|16 5.529909
9-74-|92 1.174213
0-83-|56 1.904093
0-6-|61 2.319036
2-14-|71 5.851922
0-71-|55 0.647037
48-95-|86 2.892072
40-77-|79 0.263424
0-59-|46 2.434902
0-77-|35 2.244493
36-69-|45 1.289175
0-71-|6 1.141273
13-23-|54 2.440914
55-84-|20 3.882278
0-8-|2 8.296199
76-|55 0.903179
11-16-|62 3.428876
52-69-|9 2.117427
0-71-|40 1.488152
7-44-|25 1.451707
0-|75 4.445789
27-90-|36 2.899370
69-|22 3.618501
0-|95 6.019000
0-74-|14 1.116254
48-60-|20 6.141951
50-|79 2.044484
10-58-|36 2.899370
48-93-|57 2.132867
0-30-|25 1.695051
39-|49 0.993123
98-|13 2.599752
0-31-|85 4.076229
0-48-|82 4.968477
38-50-|45 1.289175
36-|14 0.894434
20-91-|38 2.974094
0-96-|85 4.076229
15-47-|95 1.337698
41-81-|68 0.862759
0-|64 7.518860
0-93-|40 1.222966
1-|15 5.648405
0-56-|50 0.076187
18-84-|45 1.289175
0-27-|17 2.372539
51-67-|26 2.461843
41-57-|44 2.610370
56-95-|84 2.040145
66-|81 2.981343
0-1-|25 1.689094
0-|87 3.062592
22-83-|11 1.549476
0-67-|41 3.113671
11-|68 1.174607
15-45-|86 1.988236
18-84-|79 0.451203
26-51-|78 1.059448
0-41-|98 4.341186
64-94-|81 2.452975
16-50-|21 0.862036
28-35-|24 1.427593
64-86-|11 0.000000
36-85-|13 3.527586
2-17-|79 2.682748
25-77-|9 2.055859
39-40-|39 0.000000
20-|53 2.583265
31-|49 0.993123
0-63-|24 1.784469
40-43-|59 1.426319
49-|4 4.376621
22-83-|32 2.271158
28-67-|59 1.825392
7-70-|63 2.201066
0-34-|25 1.356058
16-66-|41 2.788632
15-66-|65 1.261067
17-57-|80 3.229644
16-73-|17 2.451192
6-69-|55 0.903179
18-65-|14 0.894434
0-1-|74 4.086552
0-78-|80 3.524644
0-71-|10 1.722955
9-88-|80 3.459684
36-|85 4.076229
41-|36 3.624213
11-62-|68 0.713805
19-63-|97 1.544462
16-35-|0 12.083780
87-|82 3.771926
27-29-|66 0.596640
0-43-|69 3.754503
0-6-|67 4.112654
94-|23 0.879476
0-39-|67 5.140818
0-1-|43 2.371960
56-89-|92 1.174213
0-55-|4 5.470776
84-89-|80 2.382096
13-|99 3.204512
64-|55 0.903179
25-45-|16 4.456637
|77 5.934615
91-|22 1.796692
72-|12 1.614091
95-|53 4.072400
0-76-|6 1.141273
0-83-|68 1.174607
0-38-|40 1.240126
20-54-|39 0.647119
0-99-|12 1.614091
0-86-|84 4.059085
0-83-|91 1.699795
57-71-|94 1.703970
20-33-|22 3.618454
0-83-|93 0.576735
67-92-|28 1.953562
56-70-|21 0.862036
71-|45 1.289175
83-|76 0.984379
6-58-|97 1.544462
0-1-|26 1.888005
46-88-|3 2.803311
72-|11 2.539262
0-|84 7.351590
1-|80 1.933845
67-96-|24 1.784492
71-|27 0.264311
36-|0 12.181230
0-68-|50 3.259231
0-60-|53 7.875014
0-94-|17 3.427867
95-|33 1.802856
33-|92 0.060456
27-59-|77 2.513505
8-|50 4.643324
67-|60 1.473075
49-71-|70 0.263013
59-80-|47 0.330044
38-75-|90 0.446420
1-19-|84 3.894450
|29 4.891835
1-|69 3.401940
0-64-|17 0.831709
38-78-|55 0.903179
27-|70 0.046715
9-|4 4.376621
0-45-|94 4.223081
11-16-|39 0.647119
1-45-|58 3.517444
29-|27 4.902087
43-80-|70 3.248366
27-29-|57 2.132867
28-|17 1.086520
2-|95 2.593851
22-69-|92 1.174213
66-|51 1.074899
3-65-|84 5.881272
36-54-|91 0.026283
35-|79 3.817310
0-4-|29 3.913468
43-|79 4.083314
56-59-|71 4.248788
36-55-|24 1.781637
0-9-|16 5.570797
0-82-|32 1.311185
0-70-|33 1.284819
40-66-|10 3.431330
11-31-|58 2.005198
0-|98 4.341186
7-28-|77 1.208652
74-85-|93 0.579003
1-84-|25 1.808631
0-64-|81 1.962380
|76 4.581684
20-25-|52 1.263730
85-98-|91 1.760405
5-32-|55 0.903179
0-35-|3 3.370586
0-23-|45 1.183681
0-12-|88 1.443981
21-|32 1.816927
4-67-|4 0.000000
99-|32 1.816927
0-88-|97 1.544462
16-64-|43 1.897568
9-|56 3.873328
21-92-|1 7.720718
0-1-|89 4.862494
32-|81 2.981343
44-58-|48 0.649948
80-|67 2.244542
39-68-|13 4.314044
17-24-|44 3.517116
0-94-|50 3.714659
0-69-|71 3.044413
0-17-|63 0.000000
63-77-|94 2.246054
5-67-|63 1.248772
0-59-|97 1.544462
10-39-|11 5.081188
51-|57 1.416149
0-28-|11 4.804779
24-45-|13 4.349631
0-60-|68 1.142160
27-|92 1.174213
54-|80 3.524644
72-|20 4.306959
0-31-|42 1.260772
0-|30 6.182797
0-1-|47 0.423445
38-91-|31 1.250629
61-76-|20 3.732493
16-32-|77 4.320175
55-|36 2.899370
86-|92 1.174213
41-49-|3 2.803311
0-75-|31 1.248629
6-31-|29 3.913468
0-11-|37 1.196979
5-13-|41 3.116270
6-58-|49 0.993123
39-54-|33 1.798747
|54 2.445270
46-68-|97 1.544462
0-40-|67 5.132593
63-77-|96 0.807415
8-82-|27 2.736855
70-77-|95 3.201205
21-52-|15 5.708861
0-98-|9 2.055859
42-|26 3.210569
61-69-|29 1.624085
0-|35 3.055113
36-70-|68 0.515128
92-|17 2.778228
2-51-|14 0.894434
77-90-|14 0.894434
0-25-|66 0.596640
|96 1.009269
73-89-|61 2.875605
36-|23 1.141815
78-|38 7.433365
32-61-|12 1.614091
32-|10 3.431330
0-97-|52 1.151431
0-|34 4.048253
32-|23 1.141815
9-56-|14 1.073321
22-69-|78 1.112195
0-83-|72 0.353796
48-88-|87 2.450074
44-|54 1.956216
75-|38 3.538739
87-95-|54 1.956216
43-53-|85 1.272721
60-98-|59 0.824362
0-1-|12 2.017613
0-31-|28 4.821693
62-79-|94 2.808012
59-71-|36 3.624213
20-83-|48 0.524152
26-38-|18 2.182265
18-|65 1.261067
0-1-|28 4.375499
26-77-|66 0.596640
0-72-|67 0.235102
0-95-|75 1.427468
62-|76 3.404405
69-|6 1.164071
21-77-|0 9.744984
0-|97 1.930578
|62 3.428876
0-37-|36 2.899370
74-|48 0.524152
29-84-|8 1.339933
40-|43 1.897568
18-65-|80 2.746997
0-71-|4 4.109883
65-80-|14 0.894434
19-82-|51 1.074899
31-57-|18 3.247347
75-99-|74 4.174574
40-|4 4.376621
5-|82 5.913690
0-18-|57 2.027373
42-64-|86 1.430864
0-18-|15 6.412159
43-|26 2.568455
0-28-|28 0.000000
0-2-|70 2.551278
0-1-|38 6.572998
17-68-|55 0.903179
24-|45 1.289175
82-|18 1.826937
|82 6.210597
8-60-|24 1.427593
37-40-|14 0.894434
27-29-|56 0.104179
50-|18 3.928110
70-|67 2.839440
0-3-|6 1.141273
49-|71 7.565398
0-71-|22 2.894801
0-65-|20 6.141951
32-|61 2.319036
0-50-|10 4.062410
35-57-|0 9.639490
14-|76 3.665347
2-22-|52 1.263730
|88 1.804977
0-10-|79 2.651611
38-50-|82 0.287126
57-60-|44 4.540834
2-51-|15 3.553442
18-|41 2.971333
|97 1.930578
38-75-|33 2.235542
33-39-|28 4.821693
44-83-|26 3.022479
6-94-|66 0.472374
14-71-|1 8.697199
21-54-|25 1.451707
18-|85 3.910016
55-66-|72 5.021060
0-1-|23 1.427269
0-1-|62 2.759694
22-|16 4.456637
0-1-|49 0.307069
0-61-|30 6.095088
95-|21 0.862036
0-25-|18 3.247347
0-16-|43 2.371808
0-16-|83 5.414868
16-39-|61 2.319036
0-82-|19 3.927719
28-|95 5.795124
0-82-|66 0.596640
61-|85 4.076229
69-|42 1.743304
64-|86 1.972851
16-61-|74 3.392225
44-|62 2.743101
48-|43 1.897568
0-1-|85 5.045235
12-14-|58 3.565113
0-9-|30 4.946238
57-|31 1.000504
56-|70 3.266628
0-40-|91 1.699795
60-98-|52 1.263730
0-83-|8 1.339933
83-|97 1.544462
5-13-|6 1.161951
19-73-|38 5.699031
91-|56 3.858608
48-|60 1.473075
|41 3.714166
37-66-|70 3.446649
0-29-|13 2.190743
75-99-|68 1.174607
15-|45 1.289175
0-77-|97 1.853355
0-1-|10 3.675148
1-|94 3.378681
54-66-|20 7.677438
43-|9 1.103171
71-90-|92 1.174213
30-|26 3.123657
40-77-|60 0.317059
0-42-|25 1.356058
35-|80 2.120145
0-77-|12 1.614091
0-73-|56 3.873328
16-61-|4 5.413184
|15 7.136077
0-91-|16 4.456637
13-16-|98 2.136607
3-15-|38 1.714835
88-|14 0.894434
0-40-|3 2.954921
0-48-|67 4.112654
0-|90 0.587222
0-1-|90 0.388618
92-|37 1.328263
0-38-|15 1.477004
22-69-|96 0.277149
49-|91 1.596470
19-35-|58 3.290068
16-79-|83 1.016925
17-|4 4.360035
48-|69 3.754503
27-29-|1 8.052948
12-70-|87 2.450074
56-95-|87 0.614491
